Französisch,Deutsch,Kategorie
automne,Herbst,Jahreszeiten
hiver,Winter,Jahreszeiten
maintenant,jetzt,Zeitangaben
plus tard,später,Zeitangaben
toujours,immer,Zeitangaben
jamais,nie,Zeitangaben
souvent,oft,Zeitangaben
parfois,manchmal,Zeitangaben
maison,Haus,Wohnen
appartement,Wohnung,Wohnen
chambre,Zimmer,Wohnen
cuisine,Küche,Wohnen
salon,Wohnzimmer,Wohnen
salle de bains,Badezimmer,Wohnen
jardin,Garten,Wohnen
porte,Tür,Wohnen
fenêtre,Fenster,Wohnen
table,Tisch,Möbel
chaise,Stuhl,Möbel
lit,Bett,Möbel
canapé,Sofa,Möbel
armoire,Schrank,Möbel
lampe,Lampe,Möbel
nourriture,Essen,Essen & Trinken
boisson,Getränk,Essen & Trinken
pain,Brot,Essen & Trinken
beurre,Butter,Essen & Trinken
fromage,Käse,Essen & Trinken
œuf,Ei,Essen & Trinken
viande,Fleisch,Essen & Trinken
poisson,Fisch,Essen & Trinken
eau,Wasser,Essen & Trinken
lait,Milch,Essen & Trinken
café,Kaffee,Essen & Trinken
thé,Tee,Essen & Trinken
bière,Bier,Essen & Trinken
vin,Wein,Essen & Trinken
pomme,Apfel,Essen & Trinken
vêtements,Kleidung,Kleidung
chemise,Hemd,Kleidung
pantalon,Hose,Kleidung
robe,Kleid,Kleidung
veste,Jacke,Kleidung
manteau,Mantel,Kleidung
chaussures,Schuhe,Kleidung
corps,Körper,Gesundheit
tête,Kopf,Gesundheit
yeux,Augen,Gesundheit
main,Hand,Gesundheit
pied,Fuß,Gesundheit
médecin,Arzt,Gesundheit
ville,Stadt,Reisen & Stadt
rue,Straße,Reisen & Stadt
place,Platz,Reisen & Stadt
gare,Bahnhof,Reisen & Stadt
hôtel,Hotel,Reisen & Stadt
restaurant,Restaurant,Reisen & Stadt
voiture,Auto,Verkehr
bus,Bus,Verkehr
train,Zug,Verkehr
avion,Flugzeug,Verkehr
vélo,Fahrrad,Verkehr
billet,Fahrkarte,Verkehr
travail,Arbeit,Arbeit & Beruf
argent,Geld,Finanzen
soleil,Sonne,Natur & Wetter
pluie,Regen,Natur & Wetter
chien,Hund,Tiere
chat,Katze,Tiere
être,sein,Verben
avoir,haben,Verben
faire,machen,Verben
aller,gehen,Verben
venir,kommen,Verben
voir,sehen,Verben
écouter,zuhören,Verben
parler,sprechen,Verben
dire,sagen,Verben
demander,fragen,Verben
lire,lesen,Verben
écrire,schreiben,Verben
comprendre,verstehen,Verben
savoir,wissen,Verben
vouloir,wollen,Verben
pouvoir,können,Verben
manger,essen,Verben
boire,trinken,Verben
dormir,schlafen,Verben
acheter,kaufen,Verben
payer,bezahlen,Verben
travailler,arbeiten,Verben
habiter,wohnen,Verben
aimer,lieben,Verben
bon,gut,Adjektive
mauvais,schlecht,Adjektive
grand,groß,Adjektive
petit,klein,Adjektive
nouveau,neu,Adjektive
vieux,alt,Adjektive
chaud,warm,Adjektive
froid,kalt,Adjektive
facile,einfach,Adjektive
difficile,schwierig,Adjektive
cher,teuer,Adjektive
beau,schön,Adjektive
qui,wer,Fragewörter
que,was,Fragewörter
où,wo,Fragewörter
quand,wann,Fragewörter
pourquoi,warum,Fragewörter
comment,wie,Fragewörter
combien,wie viel,Fragewörter
ici,hier,Ortsangaben
là,dort,Ortsangaben
à gauche,links,Ortsangaben
à droite,rechts,Ortsangaben
